N,P,K,temperature,humidity,ph,rainfall,label
24.0,11.7,39.0,20.44,91.99,6.23,103.11,pomegranate
35.7,58.5,32.0,20.71,60.77,6.2,69.83,soybean
28.8,68.8,20.4,23.7,63.6,6.9,50.74,lentil
26.6,46.1,46.3,26.84,65.49,6.71,109.9,soybean
29.6,57.7,18.2,25.42,62.01,6.31,59.29,lentil
19.9,31.9,33.0,26.54,68.03,6.27,77.84,groundnut
94.3,43.5,28.0,16.11,47.78,6.69,31.98,wheat
78.5,40.4,44.5,26.8,85.89,6.79,154.05,jute
82.9,49.2,60.0,31.96,71.47,5.82,189.78,rice
48.2,55.1,51.9,30.73,92.24,6.49,43.2,papaya
16.4,42.8,23.1,27.63,85.13,6.69,41.44,mungbean
84.2,40.7,44.7,28.88,83.86,6.67,157.67,jute
22.4,18.4,28.0,30.07,93.16,6.3,148.74,coconut
26.3,36.5,31.9,23.62,63.24,6.49,60.47,groundnut
103.0,12.5,53.5,29.12,91.83,6.22,26.81,muskmelon
29.3,47.2,45.2,28.84,64.49,6.28,81.0,soybean
98.9,15.9,25.6,25.85,61.67,6.22,214.85,coffee
20.8,49.7,23.6,31.8,33.92,5.91,54.04,mothbeans
13.8,35.3,22.9,26.76,51.99,7.58,59.29,mothbeans
103.8,46.2,51.7,25.88,83.16,7.5,243.93,sugarcane
29.8,68.5,19.0,23.28,69.66,6.43,40.21,lentil
19.1,68.1,16.5,24.12,63.12,5.06,139.62,pigeonpeas
26.2,58.5,16.3,20.39,24.8,6.03,105.67,kidneybeans
53.0,63.6,48.1,33.64,90.24,6.11,149.53,papaya
15.7,123.2,197.3,21.58,91.46,5.77,112.89,apple
104.5,59.7,53.1,22.08,86.34,5.95,249.51,rice
16.1,132.2,193.8,24.3,81.96,6.32,72.81,grapes
18.3,13.9,8.6,18.47,91.76,6.94,104.72,orange
18.7,17.6,11.4,16.12,90.27,7.42,118.53,orange
118.4,35.9,22.0,23.04,72.58,5.6,72.29,cotton
83.4,35.9,41.4,25.0,78.69,6.33,190.26,jute
103.9,17.1,46.6,31.82,90.03,6.07,21.45,muskmelon
37.5,67.4,21.7,28.93,67.25,6.73,60.13,blackgram
20.1,26.5,25.2,24.86,57.03,6.66,59.9,groundnut
46.2,63.4,22.7,31.07,60.23,6.31,62.02,blackgram
18.2,15.7,34.1,27.13,99.43,6.15,218.43,coconut
93.4,52.4,37.1,24.89,57.61,5.51,77.59,maize
102.5,43.8,24.1,19.04,58.78,6.18,36.41,wheat
40.0,57.6,47.6,20.65,62.89,6.92,99.74,soybean
35.5,52.4,45.3,26.25,71.58,6.09,63.03,soybean
111.4,55.2,34.5,18.0,55.84,6.47,35.64,wheat
71.1,51.1,22.7,22.16,51.01,6.26,70.58,maize
19.9,14.4,34.9,25.59,96.42,6.12,171.04,coconut
80.8,58.6,57.6,30.32,76.15,5.59,281.7,rice
90.8,17.8,50.0,27.59,92.41,6.1,26.03,muskmelon
21.9,55.0,34.7,26.0,73.19,6.01,79.2,soybean
101.7,88.3,52.7,30.93,83.61,6.46,101.21,banana
24.6,63.6,15.3,21.76,61.97,6.59,47.78,lentil
109.2,48.4,38.8,19.04,69.41,5.86,108.13,maize
133.9,58.7,60.9,26.56,74.57,7.1,176.07,sugarcane
26.3,56.5,89.4,19.04,20.15,7.48,79.73,chickpea
67.6,44.5,52.9,21.2,73.72,6.27,61.14,chilli
120.3,52.0,57.0,30.51,79.76,6.68,152.74,sugarcane
48.0,66.3,15.3,31.43,64.72,7.44,71.74,blackgram
112.9,58.9,58.7,29.71,79.17,7.1,175.62,sugarcane
17.1,17.7,11.7,17.54,94.81,6.67,107.94,orange
91.5,39.9,49.1,28.88,63.88,7.21,96.41,chilli
102.8,49.0,37.9,13.21,42.09,6.83,30.96,wheat
85.2,44.1,28.6,21.23,49.5,6.91,58.17,wheat
20.3,49.3,22.2,29.15,86.93,6.92,44.81,mungbean
23.7,28.2,34.4,27.94,59.35,6.94,71.31,groundnut
16.3,34.0,33.0,29.2,58.14,6.36,76.3,groundnut
73.1,46.6,51.5,23.61,56.96,7.07,109.71,chilli
23.6,33.7,18.3,28.16,81.16,6.31,54.58,mungbean
16.7,72.0,21.5,22.45,61.64,6.98,44.88,lentil
18.2,13.7,11.1,19.31,93.63,6.91,111.26,orange
98.0,20.9,26.0,27.55,69.56,6.06,218.02,coffee
18.0,16.5,32.7,34.2,53.05,6.7,97.0,mango
50.2,61.3,45.5,30.33,88.98,6.24,131.04,papaya
61.8,49.8,46.3,23.01,62.91,6.18,68.38,chilli
101.6,47.7,23.0,24.5,70.79,6.19,91.14,cotton
92.7,17.3,53.8,27.7,83.59,6.31,48.28,watermelon
21.8,67.1,16.0,22.02,23.97,6.15,98.45,kidneybeans
16.3,128.3,204.0,22.48,81.49,6.49,73.61,grapes
105.6,40.5,45.5,24.23,84.73,6.52,283.83,rice
85.1,58.9,20.2,22.54,56.69,6.51,42.57,wheat
106.4,41.4,21.1,18.74,43.44,7.29,42.33,wheat
90.9,19.0,46.9,28.11,89.48,6.17,54.34,watermelon
29.3,46.4,37.5,26.95,74.31,6.49,73.42,soybean
38.7,46.1,34.8,28.09,73.22,6.94,108.86,soybean
29.9,39.6,23.7,31.25,83.76,7.02,56.54,mungbean
100.3,22.7,26.8,22.57,65.05,6.54,209.8,coffee
17.8,10.8,40.5,22.8,91.08,6.78,103.81,pomegranate
105.9,17.3,48.7,31.6,85.54,6.56,41.85,watermelon
64.6,36.2,44.3,24.07,64.68,6.61,74.02,chilli
29.8,65.2,83.8,21.46,19.91,7.19,62.79,chickpea
97.8,42.4,54.0,26.02,63.17,6.18,94.31,chilli
28.9,51.9,15.1,28.54,81.07,7.47,47.11,mungbean
47.5,59.0,45.4,33.88,88.8,6.25,107.27,papaya
77.1,61.7,46.0,20.08,75.76,6.93,197.95,turmeric
11.2,47.0,23.2,28.36,39.64,4.02,56.52,mothbeans
24.3,68.6,22.2,21.59,23.87,6.13,105.17,kidneybeans
24.6,52.5,34.8,27.35,79.05,6.33,97.0,soybean
82.5,50.7,38.5,23.03,74.71,6.12,176.51,jute
22.4,56.3,19.3,19.63,64.84,6.08,45.03,lentil
23.6,21.5,31.8,29.15,49.1,5.53,100.61,mango
102.1,56.6,52.4,30.62,81.55,6.56,156.87,rice
20.0,61.7,16.4,22.9,63.87,6.25,133.12,pigeonpeas
99.2,15.5,47.9,24.54,80.98,6.73,47.31,watermelon
64.8,39.1,50.0,25.86,64.86,7.13,83.1,chilli
14.6,47.1,19.3,29.52,40.55,3.78,61.75,mothbeans
106.4,24.2,29.8,23.87,57.25,6.82,211.18,coffee
102.4,19.6,51.8,26.57,89.16,6.94,45.79,watermelon
90.3,16.7,50.3,29.13,86.18,6.76,48.78,watermelon
78.4,44.0,44.0,28.66,61.5,7.2,99.87,chilli
16.4,123.4,203.1,21.69,93.16,6.07,116.98,apple
99.0,51.0,45.3,30.72,78.46,5.82,230.89,rice
101.9,86.1,52.0,31.4,75.28,6.2,118.43,banana
20.1,65.3,16.3,23.27,35.68,6.58,174.82,pigeonpeas
85.5,59.7,56.9,25.54,67.27,6.47,148.61,turmeric
78.9,41.1,36.3,28.53,73.43,6.26,174.21,jute
31.4,55.8,72.5,21.89,22.0,7.41,75.01,chickpea
22.2,59.7,20.7,20.75,24.95,5.8,108.9,kidneybeans
40.5,71.3,17.7,27.18,65.6,6.61,71.3,blackgram
92.4,10.1,51.5,30.44,91.58,6.29,21.55,muskmelon
16.3,138.4,192.3,19.11,80.23,6.18,68.14,grapes
68.9,56.7,54.1,26.7,75.6,6.03,196.67,turmeric
23.9,68.8,18.1,23.27,57.71,6.53,163.71,pigeonpeas
39.8,56.1,82.4,21.1,22.4,7.42,66.23,chickpea
18.9,15.2,10.0,20.51,93.07,6.48,112.82,orange
23.8,121.9,206.3,16.83,82.0,6.67,67.72,grapes
105.2,44.6,58.1,30.6,71.42,5.86,250.35,rice
137.8,62.7,49.5,31.58,83.46,6.97,212.66,sugarcane
79.6,37.4,42.0,28.7,63.35,6.86,93.95,chilli
102.0,17.9,53.2,27.91,93.3,6.21,27.24,muskmelon
17.2,65.6,20.7,22.93,19.19,5.58,103.54,kidneybeans
27.6,50.6,87.0,16.82,17.12,7.2,70.21,chickpea
66.3,45.9,45.4,28.81,68.93,5.82,182.79,turmeric
28.8,74.9,22.5,19.34,18.69,6.13,103.63,kidneybeans
98.4,45.3,44.9,27.61,75.25,6.38,284.67,rice
54.8,56.5,54.3,35.34,88.17,6.45,144.35,papaya
96.9,59.8,26.7,14.5,53.38,6.33,56.47,wheat
46.5,60.0,18.5,26.21,74.06,7.09,62.26,blackgram
135.1,57.3,60.2,26.11,71.26,7.34,181.55,sugarcane
19.9,22.6,25.9,31.92,51.33,6.11,104.31,mango
52.6,55.2,47.7,31.3,92.42,6.79,123.36,papaya
79.8,42.3,40.6,29.05,69.14,6.31,71.77,chilli
24.4,67.3,21.3,20.11,32.39,5.61,123.31,pigeonpeas
110.9,62.8,56.7,28.67,84.43,6.79,207.08,sugarcane
36.9,58.2,30.4,26.77,67.58,6.79,65.55,soybean
106.6,76.6,45.4,28.23,76.68,6.07,114.65,banana
17.2,18.6,31.2,31.39,93.92,6.55,189.87,coconut
19.7,69.4,22.6,23.72,18.25,5.57,91.56,kidneybeans
103.8,52.4,48.4,27.84,80.46,6.9,180.64,rice
19.9,46.6,20.3,26.51,81.73,7.37,48.56,mungbean
92.0,83.1,47.7,30.71,84.17,5.56,119.89,banana
16.0,60.5,21.3,20.48,20.28,6.49,86.53,kidneybeans
19.6,23.7,32.9,31.98,50.23,6.13,93.29,mango
19.7,64.0,15.5,18.95,60.1,6.14,56.3,lentil
110.7,51.7,19.5,29.97,70.56,5.61,91.51,cotton
20.1,68.9,21.5,23.52,23.97,6.36,79.0,kidneybeans
22.4,120.7,199.6,23.85,92.61,6.48,109.46,apple
23.2,136.6,196.2,23.84,91.24,6.27,108.86,apple
17.0,125.3,200.5,17.02,83.52,6.21,65.39,grapes
87.1,36.7,43.6,26.42,89.91,6.59,191.85,jute
31.9,55.8,74.6,22.07,22.03,6.68,80.62,chickpea
88.6,46.1,24.3,22.26,68.02,7.09,68.48,maize
20.7,14.9,30.9,28.24,95.55,6.73,145.86,coconut
133.2,58.2,54.1,31.64,76.88,6.01,246.98,sugarcane
22.0,135.8,196.3,21.16,94.91,6.29,115.13,apple
85.2,47.2,47.1,26.11,79.55,7.39,182.36,turmeric
20.8,65.1,79.4,21.52,24.16,6.27,77.56,chickpea
51.1,61.9,50.9,34.3,86.77,6.36,103.69,papaya
79.8,57.8,63.1,20.58,75.79,6.93,166.04,turmeric
21.0,10.1,11.1,18.82,91.52,6.06,110.8,orange
14.5,36.0,19.2,30.35,43.71,4.22,62.63,mothbeans
19.2,36.7,18.1,32.0,51.57,6.92,59.23,mothbeans
26.5,31.1,20.5,28.93,66.46,6.94,68.84,groundnut
49.1,55.8,51.0,29.96,90.47,6.5,101.33,papaya
95.6,24.0,30.4,27.84,51.97,6.21,180.34,coffee
16.8,127.6,197.2,15.29,83.42,6.59,74.73,grapes
16.6,18.1,30.1,28.09,53.51,6.82,85.58,mango
16.5,72.7,16.4,19.54,22.69,6.24,107.3,kidneybeans
105.1,19.6,49.6,29.3,92.93,6.02,21.16,muskmelon
19.5,54.2,16.4,21.58,41.48,4.52,172.17,pigeonpeas
16.8,21.8,28.4,27.71,48.55,6.62,91.14,mango
45.0,69.3,19.0,24.62,62.44,6.36,76.69,blackgram
81.8,38.2,28.4,26.46,63.55,7.31,90.78,maize
91.5,19.3,49.8,28.77,94.47,6.22,29.47,muskmelon
24.6,56.7,22.7,22.23,63.55,6.65,40.89,lentil
27.5,60.1,23.2,19.82,23.65,6.25,76.94,kidneybeans
104.6,24.0,26.4,25.31,56.16,6.4,207.27,coffee
95.0,79.2,53.0,25.98,75.12,6.33,119.48,banana
127.5,61.5,61.0,25.59,73.29,6.27,237.64,sugarcane
19.6,10.8,33.9,25.62,94.72,6.61,216.44,coconut
73.7,40.2,50.1,24.53,59.92,7.47,80.5,chilli
104.5,56.2,23.5,15.24,58.0,7.1,43.73,wheat
105.3,14.4,49.0,29.29,84.74,6.53,42.05,watermelon
83.1,54.0,27.6,24.77,66.64,6.0,64.1,maize
67.7,51.8,52.1,20.47,81.94,6.03,115.12,turmeric
38.9,41.0,48.8,24.33,79.9,6.27,94.01,soybean
108.8,53.5,15.4,22.8,82.71,6.72,91.11,cotton
82.5,40.9,44.7,26.79,72.64,6.35,172.19,jute
92.0,74.1,46.9,29.88,82.22,6.23,97.96,banana
88.8,36.3,43.9,26.21,71.6,6.9,164.42,jute
18.1,136.0,205.0,22.32,93.96,5.83,116.87,apple
21.6,10.9,33.2,31.21,99.03,6.45,130.02,coconut
84.8,44.5,46.8,27.88,74.6,5.83,160.65,rice
28.0,58.4,41.7,20.37,64.39,6.2,103.16,soybean
49.8,59.5,21.8,30.78,69.81,7.29,75.19,blackgram
90.8,86.7,48.3,25.64,77.48,5.86,105.4,banana
16.6,137.0,207.0,23.69,80.37,6.34,67.41,grapes
16.4,63.6,17.8,28.13,52.98,6.77,186.06,pigeonpeas
98.8,53.5,33.4,21.28,51.4,6.83,76.51,maize
19.6,46.5,21.5,30.14,42.5,7.65,52.45,mothbeans
10.5,36.3,22.8,26.93,41.49,7.19,55.13,mothbeans
27.5,56.9,16.0,22.39,23.68,6.06,89.32,kidneybeans
17.8,61.5,19.6,17.89,68.63,6.53,52.78,lentil
24.0,31.1,27.3,24.23,65.36,6.11,60.03,groundnut
18.6,15.0,40.7,20.94,87.55,6.1,101.48,pomegranate
40.0,68.1,21.8,26.06,72.32,7.45,72.83,blackgram
20.2,134.0,190.9,16.64,80.7,6.5,72.22,grapes
22.7,41.4,18.5,24.52,46.27,9.29,61.28,mothbeans
106.9,16.6,25.6,23.92,67.57,6.14,153.06,coffee
104.7,10.7,45.9,28.42,94.15,6.73,23.48,muskmelon
34.5,55.1,15.2,26.39,70.1,6.82,70.64,blackgram
46.8,58.3,48.4,33.38,94.16,6.64,111.02,papaya
20.9,32.4,34.6,26.94,57.06,6.98,62.82,groundnut
33.9,50.7,35.1,25.6,69.08,6.94,92.05,soybean
23.7,18.2,8.1,21.94,90.56,6.68,100.45,orange
17.7,128.9,203.6,21.82,92.93,6.47,108.28,apple
66.2,55.9,60.8,26.52,77.44,7.28,178.16,turmeric
22.1,70.6,20.1,16.09,21.53,6.45,62.17,kidneybeans
34.9,59.1,21.5,31.38,72.71,6.14,74.49,blackgram
52.0,61.1,46.1,33.84,91.29,6.79,93.2,papaya
83.9,61.0,61.9,26.22,67.06,7.0,166.71,turmeric
86.8,45.6,46.3,24.31,75.44,5.74,122.41,turmeric
22.3,122.6,197.7,21.01,84.41,6.35,68.85,grapes
22.4,36.5,24.7,29.14,43.5,7.92,48.61,mothbeans
41.0,55.2,20.3,26.2,74.66,6.03,76.26,blackgram
18.6,61.5,16.7,15.52,23.19,6.03,97.28,kidneybeans
20.0,67.4,23.0,18.62,63.35,6.82,57.19,lentil
18.0,15.5,33.5,28.1,47.0,6.11,96.39,mango
93.5,16.1,53.4,30.87,81.4,6.54,43.95,watermelon
91.5,48.0,36.6,20.31,71.64,7.01,100.33,chilli
110.8,54.0,24.2,17.85,51.17,6.56,47.33,wheat
24.1,61.0,88.6,19.38,21.98,6.18,89.19,chickpea
24.1,52.9,23.5,26.0,49.05,7.08,43.13,mothbeans
17.3,13.8,11.9,16.0,91.58,7.3,110.63,orange
71.9,42.2,42.6,26.78,74.39,6.77,182.97,jute
119.1,43.6,24.2,28.87,75.02,6.03,63.93,cotton
24.9,60.5,20.7,21.86,23.21,5.55,90.32,kidneybeans
23.5,16.6,38.0,22.14,90.1,6.75,95.91,pomegranate
23.3,74.1,19.6,22.79,64.38,6.29,53.86,lentil
115.3,53.0,48.6,31.72,82.31,6.13,235.23,sugarcane
19.3,19.6,37.4,20.09,88.15,6.8,104.01,pomegranate
28.1,61.1,16.0,29.84,59.79,5.21,173.94,pigeonpeas
99.0,16.2,48.1,28.67,85.66,6.36,44.74,watermelon
17.3,122.0,197.7,21.18,92.16,5.88,102.92,apple
109.5,49.9,39.0,26.02,62.25,6.94,85.24,maize
33.7,64.0,20.5,27.26,60.39,6.53,61.86,blackgram
22.8,37.4,34.2,29.45,55.04,6.88,59.52,groundnut
95.0,45.9,23.0,14.66,40.76,7.39,47.94,wheat
20.0,19.0,36.8,24.43,94.81,6.95,91.38,pomegranate
28.6,74.6,20.7,16.87,63.81,6.14,46.02,lentil
109.5,38.4,15.5,29.92,82.13,6.75,71.47,cotton
18.7,16.8,42.6,25.64,92.7,6.02,91.35,pomegranate
136.3,64.5,49.0,29.61,68.38,6.6,192.89,sugarcane
53.3,55.4,55.0,32.15,88.96,6.59,101.35,papaya
115.3,48.0,16.8,22.31,75.76,5.88,87.84,cotton
20.2,134.4,202.9,21.5,92.81,6.07,107.97,apple
16.2,55.6,22.6,18.21,62.75,6.54,43.36,lentil
21.2,15.1,27.1,27.45,93.18,5.71,193.39,coconut
30.2,66.4,75.7,17.99,20.87,7.5,74.69,chickpea
18.4,10.9,25.1,31.9,94.04,5.69,156.48,coconut
48.7,66.6,19.2,25.22,64.95,6.57,76.67,blackgram
85.2,35.9,42.4,29.47,73.52,6.79,174.25,jute
39.6,52.0,36.6,25.78,79.26,6.62,80.93,soybean
14.5,45.7,20.0,25.35,58.25,4.5,56.47,mothbeans
19.8,44.4,20.4,30.78,42.93,9.24,58.19,mothbeans
15.4,17.8,26.4,31.87,51.94,5.56,102.79,mango
95.7,18.8,49.1,27.95,93.55,6.63,25.78,muskmelon
17.2,18.6,8.1,23.22,93.45,6.41,111.07,orange
19.2,13.5,9.3,20.94,90.12,6.46,119.75,orange
19.7,12.8,43.4,20.62,90.53,6.01,94.01,pomegranate
102.0,22.6,28.4,26.26,50.58,6.81,157.79,coffee
87.6,49.7,35.5,29.62,83.49,6.89,155.55,jute
89.0,57.0,54.7,26.18,84.35,6.22,167.38,turmeric
80.9,43.0,30.8,19.25,54.63,6.89,95.32,maize
16.7,122.1,195.6,24.39,92.74,5.53,107.94,apple
98.1,11.1,45.7,28.47,94.74,6.64,29.57,muskmelon
20.8,47.1,23.4,28.51,54.76,3.68,41.14,mothbeans
25.6,59.1,22.5,23.9,60.63,6.1,57.44,lentil
116.7,46.5,60.4,29.42,82.75,6.04,218.13,sugarcane
37.4,59.8,87.5,20.74,19.69,6.66,65.53,chickpea
16.8,37.1,24.9,26.67,57.8,6.75,59.44,groundnut
105.0,43.9,24.0,23.19,79.61,7.37,86.58,cotton
96.6,11.3,51.6,24.8,86.2,6.9,44.77,watermelon
28.6,61.0,19.1,16.4,24.62,5.8,84.63,kidneybeans
21.9,18.0,33.9,27.48,99.7,5.92,132.81,coconut
15.1,71.1,24.0,21.78,19.11,5.94,77.28,kidneybeans
46.2,58.2,53.8,33.82,92.65,6.7,85.54,papaya
25.7,33.7,24.1,28.32,62.88,6.4,69.03,groundnut
83.0,36.8,39.8,25.13,84.07,6.86,187.36,jute
29.8,43.6,19.9,31.51,88.51,6.7,44.82,mungbean
23.2,50.6,21.4,25.46,58.99,6.31,62.77,mothbeans
38.5,64.9,24.7,31.53,70.07,7.18,66.37,blackgram
17.0,19.0,42.6,19.96,85.06,6.41,94.66,pomegranate
26.6,66.8,20.0,18.79,60.25,6.1,48.32,lentil
16.3,51.1,16.6,26.65,53.59,5.18,162.81,pigeonpeas
86.7,49.7,44.3,26.01,71.17,6.07,297.8,rice
16.5,20.9,32.6,34.52,54.25,6.34,87.02,mango
30.9,58.3,73.8,18.62,22.56,6.94,82.8,chickpea
131.3,50.8,54.9,25.04,82.13,6.9,249.52,sugarcane
100.3,37.2,16.7,26.73,72.27,6.39,92.31,cotton
17.8,17.9,10.5,15.53,93.27,6.01,107.77,orange
16.4,30.1,21.0,28.41,59.51,6.21,81.83,groundnut
109.6,20.7,26.5,25.39,68.14,6.44,195.13,coffee
26.6,53.0,23.7,29.89,80.62,6.21,45.18,mungbean
22.1,54.2,22.8,30.21,85.78,7.08,54.59,mungbean
98.1,15.9,54.1,28.41,85.43,7.0,47.08,watermelon
77.7,57.2,58.6,28.17,72.2,6.93,152.83,turmeric
15.6,138.8,193.2,19.16,82.95,6.56,71.78,grapes
20.7,60.0,81.8,23.7,23.74,6.66,75.78,chickpea
22.5,21.9,27.9,30.09,46.63,6.36,104.3,mango
22.4,30.6,34.2,24.53,58.48,6.68,88.53,groundnut
21.0,18.4,33.9,34.96,48.43,6.85,92.19,mango
97.5,19.1,50.2,28.76,94.34,6.39,24.82,muskmelon
47.3,61.9,48.6,33.51,89.77,6.4,106.52,papaya
38.7,70.7,20.7,30.86,61.43,6.79,60.85,blackgram
22.4,60.7,85.2,16.85,17.16,6.73,81.74,chickpea
40.0,55.0,44.8,29.12,60.17,6.3,101.12,soybean
22.5,73.1,17.9,22.99,22.25,5.85,91.83,kidneybeans
82.3,51.7,50.1,30.53,73.15,6.94,162.02,rice
16.2,127.0,199.6,20.71,83.34,6.29,72.48,grapes
17.8,12.4,25.7,29.29,93.39,6.17,141.71,coconut
102.0,15.2,47.3,27.85,90.18,6.19,20.0,muskmelon
21.3,27.2,22.6,29.76,58.79,6.25,73.58,groundnut
116.9,43.1,39.1,16.29,52.6,6.9,48.24,wheat
24.3,16.9,30.9,25.61,94.67,5.57,176.85,coconut
18.8,66.7,20.5,28.18,48.47,4.78,121.69,pigeonpeas
89.1,37.2,37.8,27.88,79.93,6.87,176.03,jute
105.7,15.8,32.7,26.54,50.85,6.11,203.44,coffee
68.5,60.7,59.3,26.72,77.86,6.54,124.76,turmeric
115.8,52.4,64.4,28.48,76.61,6.39,200.37,sugarcane
83.8,36.2,36.4,28.96,79.17,6.17,167.18,jute
70.3,44.7,35.1,24.26,71.78,6.65,194.35,jute
103.0,46.6,24.2,22.3,72.12,6.81,78.85,cotton
23.4,133.4,193.0,15.9,82.56,6.51,66.01,grapes
96.9,80.8,54.7,29.13,80.54,6.34,114.55,banana
96.0,50.6,44.5,27.2,67.11,7.14,90.29,chilli
37.0,66.6,71.7,23.82,17.44,6.7,78.31,chickpea
21.2,123.8,195.2,20.25,92.67,5.69,102.05,apple
18.6,11.9,31.0,29.05,98.47,5.86,175.16,coconut
91.2,75.6,46.4,26.4,83.85,6.03,108.92,banana
107.4,21.3,29.8,26.17,52.39,6.51,186.02,coffee
18.7,125.2,198.0,20.0,94.08,6.35,106.88,apple
21.5,42.3,19.0,28.56,35.84,7.1,41.84,mothbeans
17.7,23.2,30.1,32.08,46.24,5.55,92.45,mango
52.4,60.9,50.3,35.01,92.87,6.42,89.68,papaya
18.9,65.2,20.2,21.39,65.75,6.45,47.82,lentil
89.6,47.2,46.2,23.73,75.67,6.21,104.77,turmeric
102.4,57.0,20.5,24.63,56.64,7.36,100.11,maize
22.3,11.0,38.1,25.05,86.37,6.77,105.06,pomegranate
23.9,10.8,11.2,15.61,92.79,7.41,108.32,orange
86.1,55.3,50.8,29.79,80.61,5.5,198.62,rice
25.7,70.8,15.7,25.9,64.79,6.4,50.13,lentil
18.4,11.6,12.0,19.43,91.76,6.47,119.83,orange
77.7,37.7,42.2,27.42,89.51,6.2,156.36,jute
27.5,57.4,24.5,31.78,46.16,5.2,132.01,pigeonpeas
17.7,18.5,10.6,23.64,90.1,7.3,112.99,orange
104.6,89.0,54.5,27.74,84.94,6.47,90.97,banana
103.2,14.9,50.7,26.86,87.84,6.32,43.3,watermelon
20.0,124.2,208.7,18.31,80.01,6.47,74.07,grapes
105.9,49.6,45.7,26.08,79.12,6.65,249.52,sugarcane
48.8,58.8,52.7,35.3,90.65,6.53,56.51,papaya
21.8,126.2,198.2,23.15,90.21,6.44,110.42,apple
15.6,24.9,31.4,33.89,47.61,6.57,102.85,mango
97.2,44.8,54.5,28.24,57.89,6.19,102.67,chilli
72.2,43.1,36.7,26.36,59.07,7.45,82.4,chilli
109.4,19.2,34.0,22.84,61.74,6.09,156.62,coffee
46.2,63.5,53.0,35.99,89.14,6.27,101.65,papaya
34.4,61.0,15.6,31.59,73.2,7.37,72.52,blackgram
90.1,16.0,50.4,31.58,83.05,6.75,53.55,watermelon
24.3,59.8,24.1,16.43,21.23,5.75,72.77,kidneybeans
88.2,51.9,59.0,20.21,67.2,5.88,134.38,turmeric
92.8,42.9,52.4,25.69,64.88,6.83,99.59,chilli
29.3,55.7,18.7,19.43,24.65,6.36,64.97,kidneybeans
20.5,19.7,28.8,27.38,98.14,6.39,200.59,coconut
108.3,80.0,48.9,26.26,78.19,5.72,116.87,banana
23.3,29.6,34.4,24.9,66.25,6.12,84.68,groundnut
23.8,16.8,26.0,28.02,47.59,6.71,100.26,mango
107.9,46.8,43.1,31.57,76.73,5.64,164.51,rice
29.9,51.6,70.8,19.32,18.22,6.38,62.74,chickpea
17.6,58.2,20.6,25.54,62.32,6.41,43.69,lentil
21.5,11.6,44.3,20.19,91.55,6.25,97.44,pomegranate
73.4,47.9,32.7,21.02,66.37,7.0,93.64,maize
22.6,138.2,203.1,23.42,91.42,6.24,116.18,apple
18.8,11.5,44.3,24.86,90.53,6.91,104.81,pomegranate
107.7,70.7,51.2,26.72,77.95,5.91,106.52,banana
107.1,18.7,28.7,23.71,57.03,6.98,209.94,coffee
16.3,19.9,36.4,22.24,85.08,6.65,98.8,pomegranate
25.1,54.5,20.8,30.37,87.25,7.03,40.67,mungbean
18.7,67.5,20.9,17.15,61.07,6.3,58.98,lentil
16.5,71.6,22.5,18.27,69.99,6.45,46.97,lentil
49.5,62.2,46.1,34.23,94.38,6.56,54.88,papaya
20.1,12.0,43.1,22.29,88.91,6.63,106.69,pomegranate
17.7,68.9,20.1,19.6,61.38,6.38,43.72,lentil
98.4,80.7,53.7,28.32,83.82,5.98,92.37,banana
23.6,126.5,199.8,24.87,92.7,5.77,108.9,apple
24.5,68.9,21.5,26.0,65.55,6.49,42.81,lentil
102.0,37.1,19.5,23.76,74.25,5.89,60.95,cotton
23.3,122.1,204.4,16.18,80.57,6.07,66.99,grapes
18.4,130.5,204.0,15.95,83.31,6.17,68.46,grapes
89.7,56.3,62.9,26.28,73.33,6.69,135.03,turmeric
26.6,43.8,32.1,25.95,61.35,6.79,69.68,soybean
100.8,12.8,54.1,30.58,83.75,6.8,46.68,watermelon
17.5,125.7,201.3,20.66,94.19,5.53,113.27,apple
23.1,12.7,35.6,23.7,90.77,6.08,99.1,pomegranate
91.8,22.3,29.4,27.96,66.07,6.29,204.45,coffee
74.4,44.4,39.8,29.23,72.9,6.93,172.75,jute
100.8,10.1,45.7,29.36,87.74,6.86,46.36,watermelon
20.2,54.0,18.7,30.1,47.22,6.94,49.95,mothbeans
16.4,39.1,30.9,23.12,52.24,6.73,87.32,groundnut
99.6,48.8,28.6,18.09,51.5,7.27,105.2,maize
96.1,48.5,43.3,28.95,69.07,7.14,92.29,chilli
94.1,12.5,51.2,27.78,90.53,6.74,26.76,muskmelon
73.2,55.1,59.7,20.99,76.18,6.17,113.78,turmeric
94.6,47.4,44.2,24.67,88.73,6.47,241.37,rice
76.4,39.7,42.9,25.41,74.16,7.34,104.15,chilli
21.7,47.6,15.8,28.51,80.62,6.82,52.64,mungbean
90.7,36.3,25.0,25.64,59.13,7.1,93.38,maize
107.4,56.9,55.5,24.29,70.64,5.97,190.16,rice
39.2,66.7,81.5,24.51,25.0,7.01,68.09,chickpea
117.9,48.9,17.5,25.74,84.04,6.78,96.91,cotton
46.1,56.8,52.6,32.9,87.67,6.45,65.4,papaya
119.3,42.0,30.7,24.88,57.01,6.26,58.77,wheat
72.1,48.9,51.0,20.37,68.36,6.95,174.01,turmeric
22.6,49.1,17.8,31.91,86.8,6.18,64.38,mungbean
95.6,12.2,50.8,27.27,94.0,6.38,25.41,muskmelon
